cue/word,response/neighbor,similarity,P(r|c)
executive,president,0.6182477474212646,0.02197802197802198
executive,chairman,0.6353487968444824,0.003663003663003663
executive,director,0.6964301466941833,0.014652014652014652
elevator,escalator,0.6348838806152344,0.03914590747330961
eager,wanting,0.6050570607185364,0.003663003663003663
eager,willing,0.6328454613685608,0.047619047619047616
eager,keen,0.6450806856155396,0.018315018315018316
boil,simmer,0.6144639849662781,0.006711409395973154
vital,key,0.6332908272743225,0.0035460992907801418
vital,critical,0.6750375628471375,0.01773049645390071
tail,tails,0.6220909357070923,0.0035460992907801418
surgeon,anesthetist,0.6096371412277222,0.0035842293906810036
surgeon,surgery,0.6114771962165833,0.021505376344086023
surgeon,physician,0.6561126112937927,0.021505376344086023
surgeon,doctor,0.6793397665023804,0.21505376344086022
monthly,yearly,0.6619018316268921,0.03571428571428571
monthly,weekly,0.6724672317504883,0.075
consume,consumption,0.6043094992637634,0.0035087719298245615
consume,eat,0.6184971332550049,0.25263157894736843
seek,sought,0.6314429640769958,0.018315018315018316
world,globe,0.6945997476577759,0.13309352517985612
appreciation,gratitude,0.6002665162086487,0.11068702290076336
piano,melody,0.6092746257781982,0.0035335689045936395
piano,clavichord,0.6228589415550232,0.0035335689045936395
piano,percussion,0.6247726678848267,0.007067137809187279
piano,jazz,0.629702091217041,0.0035335689045936395
piano,pianoforte,0.6541714072227478,0.0035335689045936395
spy,espionage,0.6264240145683289,0.07114624505928854
suitable,unsuitable,0.6576622128486633,0.00398406374501992
liver,lung,0.6386002898216248,0.0035842293906810036
manager,director,0.6663657426834106,0.003937007874015748
pork,lamb,0.6107683181762695,0.003472222222222222
pork,chicken,0.6541997194290161,0.010416666666666666
pork,beef,0.6601365208625793,0.03819444444444445
greet,greeting,0.675140380859375,0.010752688172043012
pot,marijuana,0.6314845085144043,0.05172413793103448
shot,shoot,0.6021238565444946,0.007017543859649123
shot,shooting,0.6465089321136475,0.0035087719298245615
rocket,missile,0.6771039962768555,0.017361111111111112
ugly,awful,0.6236302852630615,0.0037174721189591076
ugly,nasty,0.6465393900871277,0.01486988847583643
newspaper,broadsheet,0.6530411839485168,0.0037593984962406013
soar,rise,0.6784969568252563,0.014035087719298246
principle,tenet,0.6081604361534119,0.02702702702702703
direct,indirect,0.6217883825302124,0.018726591760299626
cooperation,collaboration,0.6083416938781738,0.015748031496062992
surprise,shocker,0.6508702039718628,0.0036900369003690036
bar,pub,0.6000003814697266,0.024734982332155476
bar,tavern,0.6364459991455078,0.0176678445229682
apple,pears,0.6133961081504822,0.003484320557491289
apple,fruit,0.6410146951675415,0.11846689895470383
apple,pear,0.6450697183609009,0.06620209059233449
grateful,gratitude,0.6074671149253845,0.007462686567164179
grateful,pleased,0.6153908967971802,0.033582089552238806
grateful,delighted,0.6341013312339783,0.0037313432835820895
grateful,thanking,0.6359686255455017,0.0037313432835820895
grateful,glad,0.6907246708869934,0.007462686567164179
horse,jockey,0.6133068799972534,0.014184397163120567
horse,foal,0.6347866058349609,0.0035460992907801418
horse,mare,0.6621960997581482,0.014184397163120567
horse,equine,0.6656599044799805,0.01773049645390071
horse,colt,0.6765697002410889,0.0035460992907801418
mother,mum,0.6032877564430237,0.027777777777777776
mother,mama,0.6044390201568604,0.013888888888888888
mother,family,0.6065612435340881,0.017361111111111112
mother,woman,0.6076306700706482,0.027777777777777776
mother,child,0.6177657246589661,0.034722222222222224
mother,brother,0.6273878812789917,0.024305555555555556
mother,uncle,0.6666615605354309,0.003472222222222222
cliff,ledge,0.6343266367912292,0.0176678445229682
spill,leak,0.625106930732727,0.01107011070110701
alcohol,drinking,0.6168400049209595,0.020905923344947737
alcohol,liquor,0.6246078014373779,0.013937282229965157
